iter	Logloss
0	0.6857835748
1	0.6796983855
2	0.6729845014
3	0.6646549269
4	0.6553846406
5	0.6464229689
6	0.6406604603
7	0.6336984386
8	0.6257158746
9	0.6189498709
10	0.6122939441
11	0.605328344
12	0.5985410296
13	0.5926314351
14	0.5865865506
15	0.5802488941
16	0.5725426483
17	0.5662207009
18	0.560420823
19	0.5542387968
20	0.5484470379
21	0.5428780235
22	0.5363975073
23	0.5325122933
24	0.5265411133
25	0.5223465416
26	0.5164304991
27	0.5104937327
28	0.5030834908
29	0.4985700774
30	0.492900022
31	0.4891805319
32	0.4840061095
33	0.4797049891
34	0.4766720288
35	0.4714341334
36	0.4668859014
37	0.4623914501
38	0.4582273889
39	0.4545303824
40	0.4501608382
41	0.4444987481
42	0.4406695291
43	0.436955395
44	0.433459439
45	0.4302415305
46	0.426290107
47	0.4230502707
48	0.4201767456
49	0.4155305068
50	0.4129272103
51	0.4096291866
52	0.4045887875
53	0.4002022803
54	0.3973917015
55	0.3952767047
56	0.3916705756
57	0.3885921763
58	0.3839879747
59	0.380186532
60	0.3768343603
61	0.3742522912
62	0.3714114587
63	0.3686908898
64	0.3646819652
65	0.3620045287
66	0.3589691478
67	0.3558558001
68	0.352621556
69	0.3499476642
70	0.3473200623
71	0.3443354538
72	0.3410343336
73	0.3375705085
74	0.3350148344
75	0.331753935
76	0.3297190088
77	0.3281895063
78	0.3254088261
79	0.3229965041
80	0.3206333511
81	0.3177721569
82	0.3157525216
83	0.3133913324
84	0.3105593516
85	0.3078296084
86	0.3055509779
87	0.3035739197
88	0.3021041725
89	0.2997290535
90	0.2979031271
91	0.2959251868
92	0.293447708
93	0.29175514
94	0.2897027229
95	0.2883532615
96	0.2862015494
97	0.282806819
98	0.2794164681
99	0.2773906479
100	0.2754227334
101	0.2733619845
102	0.2715931617
103	0.2696368062
104	0.2682704146
105	0.2668948962
106	0.264754304
107	0.2621636182
108	0.2601490177
109	0.2576474339
110	0.255075946
111	0.2532530239
112	0.2517177767
113	0.249754786
114	0.2475081618
115	0.2459538686
116	0.2446405947
117	0.2432567944
118	0.2419046931
119	0.2402269319
120	0.2388922137
121	0.2373699393
122	0.2354537693
123	0.2338785074
124	0.2321825374
125	0.2307248296
126	0.2297633673
127	0.2279205265
128	0.2263350712
129	0.2242539074
130	0.2224711925
131	0.2210877857
132	0.2197144789
133	0.2187147272
134	0.2177426735
135	0.2168398112
136	0.2150448018
137	0.2137959382
138	0.2126976591
139	0.2117566625
140	0.2107194244
141	0.2098625778
142	0.2079802605
143	0.2064962861
144	0.2056719517
145	0.2044020826
146	0.2030947435
147	0.2016264132
148	0.2000053725
149	0.1988100499
150	0.1976520116
151	0.1966243747
152	0.1953751933
153	0.1945007281
154	0.1931177416
155	0.192214227
156	0.1912801429
157	0.190219612
158	0.188708347
159	0.1879928333
160	0.1864391524
161	0.1853433616
162	0.184292986
163	0.1829190603
164	0.1819040051
165	0.1810394534
166	0.180292562
167	0.1790814962
168	0.178117258
169	0.1774191999
170	0.1767806453
171	0.1760968581
172	0.175231877
173	0.1747050868
174	0.1742140107
175	0.1734078149
176	0.172655177
177	0.1717147139
178	0.1709170544
179	0.1700645568
180	0.1693859781
181	0.1687269834
182	0.1682534602
183	0.1674689559
184	0.1668864139
185	0.1661923061
186	0.1656137186
187	0.164777612
188	0.164072584
189	0.1635719134
190	0.1630958444
191	0.1626307283
192	0.1618061759
193	0.1612562881
194	0.1607443992
195	0.1601087888
196	0.1596671745
197	0.1591479835
198	0.1586441081
199	0.1580919756
200	0.1574882166
201	0.1571142831
202	0.1564781046
203	0.1560509074
204	0.155309522
205	0.1544945093
206	0.1539850834
207	0.1533636882
208	0.1527956097
209	0.1522225526
210	0.1518034091
211	0.1511942702
212	0.1505306437
213	0.1499191197
214	0.1493580558
215	0.1489185525
216	0.1479825856
217	0.147292451
218	0.1468444777
219	0.1459635825
220	0.1454239527
221	0.1449757676
222	0.1444168766
223	0.1438522362
224	0.1432288976
225	0.1427288546
226	0.1424009469
227	0.1419002282
228	0.1412458601
229	0.1409633214
230	0.1402594893
231	0.1399810502
232	0.1392525435
233	0.1388097889
234	0.1385105333
235	0.1382340387
236	0.1378891267
237	0.1374469583
238	0.1370630161
239	0.136131489
240	0.1358151173
241	0.1353403331
242	0.1349628153
243	0.1345246327
244	0.1340244628
245	0.1333229307
246	0.1326739658
247	0.1323909972
248	0.1321202357
249	0.1317720638
